replicates,mean_of_each_column,fullname,generation,line,choosen
v1a,278,hsd_noselection,1,1,
v1b,285,hsd_noselection,1,1,
v1c,293.25,hsd_noselection,1,1,
v2a,283.6666667,hsd_noselection,1,2,
v2c,291.6666667,hsd_noselection,1,2,
v3a,274.75,hsd_noselection,1,3,
v3b,275.4,hsd_noselection,1,3,
v3c,296.875,hsd_noselection,1,3,
v4a,276.6666667,hsd_noselection,1,4,
v5a,254,hsd_noselection,1,5,
v5b,301,hsd_noselection,1,5,
v5c,291.3333333,hsd_noselection,1,5,
v6a,286.3333333,hsd_noselection,1,6,
v6b,290.5,hsd_noselection,1,6,
v7a,290.3333333,hsd_noselection,1,7,
v7c,277,hsd_noselection,1,7,
v8a,300.25,hsd_noselection,1,8,
v8b,280,hsd_noselection,1,8,
v8c,304,hsd_noselection,1,8,
v9a,255,hsd_noselection,1,9,
v9b,302,hsd_noselection,1,9,
v10a,277.6666667,hsd_noselection,1,10,
v10c,300,hsd_noselection,1,10,
v1a,286.8947368,hsd_noselection,2,1,
v1b,293.6153846,hsd_noselection,2,1,
v1c,291.2,hsd_noselection,2,1,
v2a,295.7826087,hsd_noselection,2,2,
v2b,294.5263158,hsd_noselection,2,2,
v2c,297,hsd_noselection,2,2,
v3a,275.3,hsd_noselection,2,3,
v3b,283.4,hsd_noselection,2,3,
v3c,283.25,hsd_noselection,2,3,
v4a,281.48,hsd_noselection,2,4,
v4b,278.3636364,hsd_noselection,2,4,
v4c,287.6052632,hsd_noselection,2,4,
v5a,297.95,hsd_noselection,2,5,
v5b,286.1153846,hsd_noselection,2,5,
v5c,287.2666667,hsd_noselection,2,5,
v6a,291.8947368,hsd_noselection,2,6,
v6b,291.6785714,hsd_noselection,2,6,
v6c,294.6,hsd_noselection,2,6,
v7a,286.8947368,hsd_noselection,2,7,
v7b,288.9473684,hsd_noselection,2,7,
v7c,290.6818182,hsd_noselection,2,7,
v8a,296.6875,hsd_noselection,2,8,
v8b,298.5555556,hsd_noselection,2,8,
v8c,285.4,hsd_noselection,2,8,
v9a,301.1276596,hsd_noselection,2,9,
v9b,299.972973,hsd_noselection,2,9,
v9c,301.6129032,hsd_noselection,2,9,
v10a,299.6129032,hsd_noselection,2,10,
v10b,297.0192308,hsd_noselection,2,10,
v10c,293.6744186,hsd_noselection,2,10,
v1a,285.3921569,hsd_noselection,3,1,
v1b,284.0769231,hsd_noselection,3,1,
v1c,294.5,hsd_noselection,3,1,
v2a,292.0322581,hsd_noselection,3,2,
v2b,297,hsd_noselection,3,2,
v2c,293.0769231,hsd_noselection,3,2,
v3a,289.2820513,hsd_noselection,3,3,
v3b,289.9166667,hsd_noselection,3,3,
v3c,292.40625,hsd_noselection,3,3,
v4a,283.4,hsd_noselection,3,4,
v4b,280.35,hsd_noselection,3,4,
v4c,287.5925926,hsd_noselection,3,4,
v5a,281.6428571,hsd_noselection,3,5,
v5b,283.8888889,hsd_noselection,3,5,
v5c,287.1666667,hsd_noselection,3,5,
v6a,283.1,hsd_noselection,3,6,
v6b,291.4166667,hsd_noselection,3,6,
v6c,287.8571429,hsd_noselection,3,6,
v7a,283.0526316,hsd_noselection,3,7,
v7b,277.1666667,hsd_noselection,3,7,
v7c,281.0714286,hsd_noselection,3,7,
v8a,278.7826087,hsd_noselection,3,8,
v8b,286.6818182,hsd_noselection,3,8,
v8c,289.75,hsd_noselection,3,8,
v9a,285.4615385,hsd_noselection,3,9,
v9b,279.1111111,hsd_noselection,3,9,
v9c,292.8888889,hsd_noselection,3,9,
v10a,287,hsd_noselection,3,10,
v10b,282.1176471,hsd_noselection,3,10,
v10c,287.1666667,hsd_noselection,3,10,
v1a,275,hsd_noselection,4,1,
v1b,277,hsd_noselection,4,1,
v2a,277,hsd_noselection,4,2,
v2b,278.3333333,hsd_noselection,4,2,
v2c,275,hsd_noselection,4,2,
v3a,278,hsd_noselection,4,3,
v3b,272.8571429,hsd_noselection,4,3,
v3c,275,hsd_noselection,4,3,
v4a,274,hsd_noselection,4,4,
v4b,271.5,hsd_noselection,4,4,
v4c,277.5,hsd_noselection,4,4,
v5a,275.875,hsd_noselection,4,5,
v5b,277.75,hsd_noselection,4,5,
v6a,278,hsd_noselection,4,6,
v6b,275,hsd_noselection,4,6,
v6c,275.3333333,hsd_noselection,4,6,
v7a,266.5,hsd_noselection,4,7,
v7b,274.4166667,hsd_noselection,4,7,
v7c,274.125,hsd_noselection,4,7,
v8a,274.5,hsd_noselection,4,8,
v8b,273.5,hsd_noselection,4,8,
v8c,278.4,hsd_noselection,4,8,
v9a,276.875,hsd_noselection,4,9,
v9b,277.3333333,hsd_noselection,4,9,
v9c,279,hsd_noselection,4,9,
v10a,277.5714286,hsd_noselection,4,10,
v10b,278.1666667,hsd_noselection,4,10,
v10c,268.3333333,hsd_noselection,4,10,
v1a,278.7142857,hsd_noselection,5,1,
v1b,273,hsd_noselection,5,1,
v1c,277.6842105,hsd_noselection,5,1,
v2a,276.25,hsd_noselection,5,2,
v2b,277.6666667,hsd_noselection,5,2,
v2c,285.1304348,hsd_noselection,5,2,
v3a,280.2727273,hsd_noselection,5,3,
v3b,283.3333333,hsd_noselection,5,3,
v3c,283.2857143,hsd_noselection,5,3,
v4a,285,hsd_noselection,5,4,
v4b,290.6829268,hsd_noselection,5,4,
v4c,271.4444444,hsd_noselection,5,4,
v5a,283.36,hsd_noselection,5,5,
v5b,269.3333333,hsd_noselection,5,5,
v5c,275.4117647,hsd_noselection,5,5,
v6a,278.7692308,hsd_noselection,5,6,
v6b,281,hsd_noselection,5,6,
v6c,274.4,hsd_noselection,5,6,
v7a,290.125,hsd_noselection,5,7,
v7b,294.8,hsd_noselection,5,7,
v7c,294.5172414,hsd_noselection,5,7,
v8a,274.8888889,hsd_noselection,5,8,
v8b,274.6875,hsd_noselection,5,8,
v8c,278.9047619,hsd_noselection,5,8,
v9a,292.3461538,hsd_noselection,5,9,
v9b,277.8947368,hsd_noselection,5,9,
v9c,293.0833333,hsd_noselection,5,9,
v10a,296.3636364,hsd_noselection,5,10,
v10b,283.4285714,hsd_noselection,5,10,
v10c,271.2777778,hsd_noselection,5,10,
v1a,302,hsd_selection,1,1,
v2a,300,hsd_selection,1,2,
v2b,300,hsd_selection,1,2,
v2c,288.5,hsd_selection,1,2,
v3c,302,hsd_selection,1,3,
v5a,286.3333333,hsd_selection,1,5,
v5b,298,hsd_selection,1,5,
v5c,292.3333333,hsd_selection,1,5,
v6a,302.6666667,hsd_selection,1,6,
v6b,292.3333333,hsd_selection,1,6,
v6c,298,hsd_selection,1,6,
v7a,299,hsd_selection,1,7,
v8c,309,hsd_selection,1,8,
v9a,275,hsd_selection,1,9,
v9b,281.5,hsd_selection,1,9,
v10a,300.4,hsd_selection,1,10,
v10b,266,hsd_selection,1,10,
v1a,239.2954545,hsd_selection,2,1,
v1b,238,hsd_selection,2,1,
v1c,252.64,hsd_selection,2,1,
v2a,297.326087,hsd_selection,2,2,
v2b,300.5,hsd_selection,2,2,
v2c,294.4705882,hsd_selection,2,2,
v3a,299.0857143,hsd_selection,2,3,
v3b,298.4833333,hsd_selection,2,3,
v3c,296.8409091,hsd_selection,2,3,
v4a,296.8076923,hsd_selection,2,4,
v4b,292.4090909,hsd_selection,2,4,
v4c,292.1395349,hsd_selection,2,4,
v5a,296.3,hsd_selection,2,5,
v5b,294.9473684,hsd_selection,2,5,
v5c,299.0930233,hsd_selection,2,5,
v6a,299.4102564,hsd_selection,2,6,
v6b,292.7727273,hsd_selection,2,6,
v6c,296.55,hsd_selection,2,6,
v7a,295.1666667,hsd_selection,2,7,
v7b,288.4,hsd_selection,2,7,
v7c,298.2444444,hsd_selection,2,7,
v8a,291.7719298,hsd_selection,2,8,
v8b,298.2352941,hsd_selection,2,8,
v8c,296.4827586,hsd_selection,2,8,
v9a,297,hsd_selection,2,9,
v9b,295.0540541,hsd_selection,2,9,
v9c,286.1666667,hsd_selection,2,9,
v10a,297.4057971,hsd_selection,2,10,
v10b,295.8,hsd_selection,2,10,
v10c,296.1052632,hsd_selection,2,10,
v1a,289.8709677,hsd_selection,3,1,
v1b,291.2666667,hsd_selection,3,1,
v1c,288.2285714,hsd_selection,3,1,
v2a,285.8648649,hsd_selection,3,2,
v2b,293.4117647,hsd_selection,3,2,
v2c,285.9310345,hsd_selection,3,2,
v3a,287.1,hsd_selection,3,3,
v3b,288.6923077,hsd_selection,3,3,
v3c,289.75,hsd_selection,3,3,
v4a,286.4137931,hsd_selection,3,4,
v4b,284.35,hsd_selection,3,4,
v4c,286.483871,hsd_selection,3,4,
v5a,280.3571429,hsd_selection,3,5,
v5b,284.4545455,hsd_selection,3,5,
v5c,281,hsd_selection,3,5,
v6a,293.2,hsd_selection,3,6,
v6b,280.3,hsd_selection,3,6,
v6c,286.9285714,hsd_selection,3,6,
v7a,286.1764706,hsd_selection,3,7,
v7b,272,hsd_selection,3,7,
v7c,280.8181818,hsd_selection,3,7,
v8a,281.8461538,hsd_selection,3,8,
v8b,284.9375,hsd_selection,3,8,
v8c,287.5294118,hsd_selection,3,8,
v9a,295.2,hsd_selection,3,9,
v9b,283.75,hsd_selection,3,9,
v9c,286.2608696,hsd_selection,3,9,
v10a,283.8333333,hsd_selection,3,10,
v10b,283.7727273,hsd_selection,3,10,
v10c,288.6111111,hsd_selection,3,10,
v1a,274,hsd_selection,4,1,
v1c,276.5,hsd_selection,4,1,
v2b,277.3333333,hsd_selection,4,2,
v2c,276,hsd_selection,4,2,
v3a,273,hsd_selection,4,3,
v3b,278.5,hsd_selection,4,3,
v4a,275.5,hsd_selection,4,4,
v4b,277.6666667,hsd_selection,4,4,
v5a,276.6666667,hsd_selection,4,5,
v5b,277,hsd_selection,4,5,
v5c,269.6666667,hsd_selection,4,5,
v6a,275.6666667,hsd_selection,4,6,
v7a,269.75,hsd_selection,4,7,
v7b,273.6,hsd_selection,4,7,
v7c,259,hsd_selection,4,7,
v8a,271.6666667,hsd_selection,4,8,
v8b,254,hsd_selection,4,8,
v8c,274,hsd_selection,4,8,
v9a,270,hsd_selection,4,9,
v10a,277.3333333,hsd_selection,4,10,
v10b,273.8571429,hsd_selection,4,10,
v10c,277.3333333,hsd_selection,4,10,
v1a,281.2765957,hsd_selection,5,1,
v1b,275.6666667,hsd_selection,5,1,
v1c,276.64,hsd_selection,5,1,
v2a,286.4285714,hsd_selection,5,2,
v2b,293.5789474,hsd_selection,5,2,
v2c,276.75,hsd_selection,5,2,
v3a,275.4285714,hsd_selection,5,3,
v3b,288.3571429,hsd_selection,5,3,
v3c,288.6923077,hsd_selection,5,3,
v4a,275.5833333,hsd_selection,5,4,
v4b,279.8,hsd_selection,5,4,
v4c,283.0232558,hsd_selection,5,4,
v5a,280.1212121,hsd_selection,5,5,
v5b,284.8461538,hsd_selection,5,5,
v5c,277.5925926,hsd_selection,5,5,
v6a,281.3461538,hsd_selection,5,6,
v6b,286.8275862,hsd_selection,5,6,
v6c,292.8181818,hsd_selection,5,6,
v7a,263.3,hsd_selection,5,7,
v7b,266.7272727,hsd_selection,5,7,
v7c,271.125,hsd_selection,5,7,
v8a,284.2380952,hsd_selection,5,8,
v8b,278.8333333,hsd_selection,5,8,
v8c,276.5714286,hsd_selection,5,8,
v9a,285.6428571,hsd_selection,5,9,
v9b,297.6216216,hsd_selection,5,9,
v9c,295.64,hsd_selection,5,9,
v10a,291.4736842,hsd_selection,5,10,
v10b,296.2380952,hsd_selection,5,10,
v10c,280.3333333,hsd_selection,5,10,
v1b,251.5882353,nsd_noselection,1,1,
v1c,240.5,nsd_noselection,1,1,
v2b,234,nsd_noselection,1,2,
v2c,252.75,nsd_noselection,1,2,
v3a,246.1052632,nsd_noselection,1,3,
v3b,247.7857143,nsd_noselection,1,3,
v3c,244.7,nsd_noselection,1,3,
v4a,244.5333333,nsd_noselection,1,4,
v4b,231,nsd_noselection,1,4,
v4c,243.1666667,nsd_noselection,1,4,
v5a,242.625,nsd_noselection,1,5,
v5b,244.2222222,nsd_noselection,1,5,
v5c,253,nsd_noselection,1,5,
v6a,254.75,nsd_noselection,1,6,
v6b,246.3846154,nsd_noselection,1,6,
v6c,243.25,nsd_noselection,1,6,
v7b,251.6666667,nsd_noselection,1,7,
v8a,253.5,nsd_noselection,1,8,
v8b,235.7727273,nsd_noselection,1,8,
v8c,245.5,nsd_noselection,1,8,
v9b,241.2105263,nsd_noselection,1,9,
v9c,249,nsd_noselection,1,9,
v10a,239.0869565,nsd_noselection,1,10,
v10b,253,nsd_noselection,1,10,
v10c,246.6,nsd_noselection,1,10,
v1a,236.4571429,nsd_noselection,2,1,
v1b,233.9090909,nsd_noselection,2,1,
v1c,237.6216216,nsd_noselection,2,1,
v2a,237.8518519,nsd_noselection,2,2,
v2b,237.9574468,nsd_noselection,2,2,
v2c,235.3953488,nsd_noselection,2,2,
v3a,236.1666667,nsd_noselection,2,3,
v3b,238.15,nsd_noselection,2,3,
v3c,235.8333333,nsd_noselection,2,3,
v4a,242.7291667,nsd_noselection,2,4,
v4b,238.3414634,nsd_noselection,2,4,
v4c,242.1632653,nsd_noselection,2,4,
v5a,243.3953488,nsd_noselection,2,5,
v5b,238.047619,nsd_noselection,2,5,
v5c,244.952381,nsd_noselection,2,5,
v6a,238.1363636,nsd_noselection,2,6,
v6b,243.56,nsd_noselection,2,6,
v6c,240.1153846,nsd_noselection,2,6,
v7a,236.0526316,nsd_noselection,2,7,
v7b,239.9512195,nsd_noselection,2,7,
v7c,240.4418605,nsd_noselection,2,7,
v8a,238,nsd_noselection,2,8,
v8b,243.8723404,nsd_noselection,2,8,
v8c,236.6764706,nsd_noselection,2,8,
v9a,239.8333333,nsd_noselection,2,9,
v9b,240.137931,nsd_noselection,2,9,
v9c,239.9393939,nsd_noselection,2,9,
v10a,235.1904762,nsd_noselection,2,10,
v10b,235.5135135,nsd_noselection,2,10,
v10c,236.3333333,nsd_noselection,2,10,
v1a,233.5714286,nsd_noselection,3,1,
v1b,228,nsd_noselection,3,1,
v1c,230.5833333,nsd_noselection,3,1,
v2a,231.05,nsd_noselection,3,2,
v2b,234.9333333,nsd_noselection,3,2,
v2c,241.6,nsd_noselection,3,2,
v3a,229.5,nsd_noselection,3,3,
v3b,233.0555556,nsd_noselection,3,3,
v3c,226.4,nsd_noselection,3,3,
v4a,231.8125,nsd_noselection,3,4,
v4b,226.1818182,nsd_noselection,3,4,
v4c,233,nsd_noselection,3,4,
v5a,227.6923077,nsd_noselection,3,5,
v5b,233.3571429,nsd_noselection,3,5,
v5c,233.6190476,nsd_noselection,3,5,
v6a,234.0714286,nsd_noselection,3,6,
v6b,235.9285714,nsd_noselection,3,6,
v6c,231.56,nsd_noselection,3,6,
v7a,239.4,nsd_noselection,3,7,
v7b,236.8,nsd_noselection,3,7,
v7c,231.7777778,nsd_noselection,3,7,
v8a,233.625,nsd_noselection,3,8,
v8b,234.8378378,nsd_noselection,3,8,
v8c,231.9545455,nsd_noselection,3,8,
v9a,233.0571429,nsd_noselection,3,9,
v9b,238.5517241,nsd_noselection,3,9,
v9c,230.1818182,nsd_noselection,3,9,
v10a,233.6153846,nsd_noselection,3,10,
v10b,237.4210526,nsd_noselection,3,10,
v10c,234.7,nsd_noselection,3,10,
v1a,228.9666667,nsd_noselection,4,1,
v1b,231.5625,nsd_noselection,4,1,
v1c,227.7777778,nsd_noselection,4,1,
v2a,227.7142857,nsd_noselection,4,2,
v2b,232,nsd_noselection,4,2,
v2c,227.25,nsd_noselection,4,2,
v3a,228.6315789,nsd_noselection,4,3,
v3b,228.9285714,nsd_noselection,4,3,
v3c,235.4444444,nsd_noselection,4,3,
v4a,234.4705882,nsd_noselection,4,4,
v4b,231.7777778,nsd_noselection,4,4,
v4c,229,nsd_noselection,4,4,
v5a,237.8,nsd_noselection,4,5,
v5b,231.7058824,nsd_noselection,4,5,
v5c,235.75,nsd_noselection,4,5,
v6a,233.2222222,nsd_noselection,4,6,
v6b,230.3333333,nsd_noselection,4,6,
v6c,247.0434783,nsd_noselection,4,6,
v7a,232.3333333,nsd_noselection,4,7,
v7b,228.8461538,nsd_noselection,4,7,
v7c,235.875,nsd_noselection,4,7,
v8a,229.625,nsd_noselection,4,8,
v8b,235.2307692,nsd_noselection,4,8,
v8c,229.7058824,nsd_noselection,4,8,
v9a,227.9230769,nsd_noselection,4,9,
v9b,234.125,nsd_noselection,4,9,
v9c,229.8125,nsd_noselection,4,9,
v10a,229.2727273,nsd_noselection,4,10,
v10b,230,nsd_noselection,4,10,
v10c,234.0666667,nsd_noselection,4,10,
v1a,232.3571429,nsd_noselection,5,1,
v1b,240.9,nsd_noselection,5,1,
v1c,246.4285714,nsd_noselection,5,1,
v2a,231.2307692,nsd_noselection,5,2,
v2b,240.1538462,nsd_noselection,5,2,
v2c,235.2857143,nsd_noselection,5,2,
v3a,240.8,nsd_noselection,5,3,
v3b,233.4666667,nsd_noselection,5,3,
v3c,239.6666667,nsd_noselection,5,3,
v4a,237.1052632,nsd_noselection,5,4,
v4b,238.8461538,nsd_noselection,5,4,
v4c,237.44,nsd_noselection,5,4,
v5a,241.5,nsd_noselection,5,5,
v5b,242.6111111,nsd_noselection,5,5,
v5c,241.5714286,nsd_noselection,5,5,
v6a,234.9166667,nsd_noselection,5,6,
v6b,245.9166667,nsd_noselection,5,6,
v6c,237.875,nsd_noselection,5,6,
v7a,237.1875,nsd_noselection,5,7,
v7b,247.8181818,nsd_noselection,5,7,
v7c,236.8947368,nsd_noselection,5,7,
v8a,233.5294118,nsd_noselection,5,8,
v8b,243.3333333,nsd_noselection,5,8,
v8c,246.9,nsd_noselection,5,8,
v9a,244.25,nsd_noselection,5,9,
v9b,243.6153846,nsd_noselection,5,9,
v9c,236.4444444,nsd_noselection,5,9,
v10a,243.0454545,nsd_noselection,5,10,
v10b,238.9473684,nsd_noselection,5,10,
v10c,238.3571429,nsd_noselection,5,10,
v1a,246.5,nsd_selection,1,1,
v1b,249.7647059,nsd_selection,1,1,
v1c,247.9375,nsd_selection,1,1,
v2a,247.7096774,nsd_selection,1,2,
v2b,250.8888889,nsd_selection,1,2,
v2c,240.7931034,nsd_selection,1,2,
v3a,246.5833333,nsd_selection,1,3,
v3b,245.2272727,nsd_selection,1,3,
v3c,242.7142857,nsd_selection,1,3,
v4a,248.4736842,nsd_selection,1,4,
v4b,251.35,nsd_selection,1,4,
v4c,231,nsd_selection,1,4,
v5a,257.8,nsd_selection,1,5,
v5b,244.6,nsd_selection,1,5,
v5c,247.4642857,nsd_selection,1,5,
v6a,255.7058824,nsd_selection,1,6,
v6b,244.1666667,nsd_selection,1,6,
v6c,239.1666667,nsd_selection,1,6,
v7a,246.25,nsd_selection,1,7,
v7b,247.4375,nsd_selection,1,7,
v7c,245.8125,nsd_selection,1,7,
v8a,237.1388889,nsd_selection,1,8,
v8b,253.1666667,nsd_selection,1,8,
v8c,239.5,nsd_selection,1,8,
v9a,276.6666667,nsd_selection,1,9,
v9b,245.0769231,nsd_selection,1,9,
v9c,251.4827586,nsd_selection,1,9,
v10a,234,nsd_selection,1,10,
v10b,235.6296296,nsd_selection,1,10,
v10c,253,nsd_selection,1,10,
v1a,235.9148936,nsd_selection,2,1,
v1c,232.7857143,nsd_selection,2,1,
v2a,235.3928571,nsd_selection,2,2,
v2b,236,nsd_selection,2,2,
v2c,235.7380952,nsd_selection,2,2,
v3a,244.0232558,nsd_selection,2,3,
v3b,238.1960784,nsd_selection,2,3,
v3c,236.8363636,nsd_selection,2,3,
v4a,231.9069767,nsd_selection,2,4,
v4b,232.8688525,nsd_selection,2,4,
v4c,234.2692308,nsd_selection,2,4,
v5a,255,nsd_selection,2,5,
v5b,254,nsd_selection,2,5,
v5c,255.7777778,nsd_selection,2,5,
v6a,240.7173913,nsd_selection,2,6,
v6b,237.9818182,nsd_selection,2,6,
v6c,238.5625,nsd_selection,2,6,
v7a,238.4347826,nsd_selection,2,7,
v7b,232.8333333,nsd_selection,2,7,
v7c,231.5555556,nsd_selection,2,7,
v8a,237.375,nsd_selection,2,8,
v8b,234.2941176,nsd_selection,2,8,
v8c,236.45,nsd_selection,2,8,
v9a,236.7777778,nsd_selection,2,9,
v9b,237.9318182,nsd_selection,2,9,
v9c,235.5416667,nsd_selection,2,9,
v10a,235.40625,nsd_selection,2,10,
v10b,235.8648649,nsd_selection,2,10,
v10c,240.4418605,nsd_selection,2,10,
v1a,237.6666667,nsd_selection,3,1,
v1b,237.6666667,nsd_selection,3,1,
v1c,227.6666667,nsd_selection,3,1,
v2a,236,nsd_selection,3,2,
v2b,233.826087,nsd_selection,3,2,
v2c,236.4615385,nsd_selection,3,2,
v3a,238.8333333,nsd_selection,3,3,
v3b,231.8333333,nsd_selection,3,3,
v3c,242.4,nsd_selection,3,3,
v4a,244.2,nsd_selection,3,4,
v4b,238,nsd_selection,3,4,
v4c,240,nsd_selection,3,4,
v5a,236.3333333,nsd_selection,3,5,
v5b,233.8,nsd_selection,3,5,
v5c,250,nsd_selection,3,5,
v6a,233.3846154,nsd_selection,3,6,
v6b,231.8571429,nsd_selection,3,6,
v6c,249,nsd_selection,3,6,
v7a,233.9333333,nsd_selection,3,7,
v7b,237.4814815,nsd_selection,3,7,
v7c,231.1052632,nsd_selection,3,7,
v8a,249.1428571,nsd_selection,3,8,
v8b,233.9714286,nsd_selection,3,8,
v8c,235.3,nsd_selection,3,8,
v9a,236.1818182,nsd_selection,3,9,
v9b,235.0740741,nsd_selection,3,9,
v9c,244,nsd_selection,3,9,
v10a,238.6923077,nsd_selection,3,10,
v10b,236.8571429,nsd_selection,3,10,
v10c,232.4285714,nsd_selection,3,10,
v1a,240.875,nsd_selection,4,1,
v1b,237.8,nsd_selection,4,1,
v1c,238.3076923,nsd_selection,4,1,
v2a,237.5,nsd_selection,4,2,
v2b,233.5,nsd_selection,4,2,
v2c,245.2857143,nsd_selection,4,2,
v3a,234.3,nsd_selection,4,3,
v3b,233.1111111,nsd_selection,4,3,
v3c,243.8333333,nsd_selection,4,3,
v4a,240.375,nsd_selection,4,4,
v4b,239.4285714,nsd_selection,4,4,
v4c,242.75,nsd_selection,4,4,
v5a,239,nsd_selection,4,5,
v5b,238.2,nsd_selection,4,5,
v5c,236.6666667,nsd_selection,4,5,
v6a,239,nsd_selection,4,6,
v6b,241.0526316,nsd_selection,4,6,
v6c,243.125,nsd_selection,4,6,
v7a,235.6666667,nsd_selection,4,7,
v7b,242.0833333,nsd_selection,4,7,
v7c,242.1666667,nsd_selection,4,7,
v8a,233.3333333,nsd_selection,4,8,
v8b,232.8333333,nsd_selection,4,8,
v8c,243.9090909,nsd_selection,4,8,
v9a,232.1428571,nsd_selection,4,9,
v9b,232.375,nsd_selection,4,9,
v9c,238.125,nsd_selection,4,9,
v10a,246.7142857,nsd_selection,4,10,
v10b,246.625,nsd_selection,4,10,
v10c,240.3333333,nsd_selection,4,10,
v1a,236.2,nsd_selection,5,1,
v1b,233.24,nsd_selection,5,1,
v1c,239.2857143,nsd_selection,5,1,
v2a,234.3939394,nsd_selection,5,2,
v2b,240,nsd_selection,5,2,
v2c,237.9375,nsd_selection,5,2,
v3a,229.1176471,nsd_selection,5,3,
v3b,227.8571429,nsd_selection,5,3,
v3c,236.0833333,nsd_selection,5,3,
v4a,232.7826087,nsd_selection,5,4,
v4b,237.1481481,nsd_selection,5,4,
v4c,233.125,nsd_selection,5,4,
v5a,234.8,nsd_selection,5,5,
v5b,240.3333333,nsd_selection,5,5,
v5c,239.55,nsd_selection,5,5,
v6a,236.1363636,nsd_selection,5,6,
v6b,238.5333333,nsd_selection,5,6,
v6c,231.9642857,nsd_selection,5,6,
v7a,232.4230769,nsd_selection,5,7,
v7b,238.1304348,nsd_selection,5,7,
v7c,240.5454545,nsd_selection,5,7,
v8a,239.1333333,nsd_selection,5,8,
v8b,239.5,nsd_selection,5,8,
v8c,236.8846154,nsd_selection,5,8,
v9a,235.3703704,nsd_selection,5,9,
v9b,235.65,nsd_selection,5,9,
v9c,237.3888889,nsd_selection,5,9,
v10a,236.0555556,nsd_selection,5,10,
v10b,233.6666667,nsd_selection,5,10,
v10c,237.6315789,nsd_selection,5,10,
